title,company,location,url,posted_date,job_type,eligibility,skills,source_id
DevFusion 4.O- The Developers Hackathon,"Indian Institute of Technology (IIT), Bombay",Online,https://unstop.com/hackathons/devfusion-4o-the-developers-hackathon-iit-bombay-1714389,,Online,,"Software Development, Undergraduate, Postgraduate, Engineering Students",devfusion-4o-the-developers-hackathon-iit-bombay-1714389
Datasphere,Sathyabama University of Science and Technology,Online,https://unstop.com/hackathons/datathon-sathyabama-university-of-science-and-technology-1714310,,Open,,"Data Analysis, Data Science, Undergraduate, Postgraduate, Closed",datathon-sathyabama-university-of-science-and-technology-1714310
Indradhanu: PCCOE International Grand Challenge 2026,"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Online,https://unstop.com/hackathons/indradhanu-pccoe-international-grand-challenge-2026-pimpri-chinchwad-college-of-engineering-pccoe-pune-1710779,,Open,,"Others, Sustainability Analysis, Applied AI, Undergraduate",indradhanu-pccoe-international-grand-challenge-2026-pimpri-chinchwad-college-of-engineering-pccoe-pune-1710779
EduSync: Connect the Web,Paper Buddy,Online,https://unstop.com/hackathons/edusync-connect-the-web-paper-buddy-1712464,,Online,,"Product Management, Undergraduate, Postgraduate",edusync-connect-the-web-paper-buddy-1712464
Shepreneurs 2026,TechVerse Solutions,Online,https://unstop.com/hackathons/shepreneurs-2026-techverse-solutions-1712083,,Online,,"Data Science, Business Development, Everyone can apply",shepreneurs-2026-techverse-solutions-1712083
ELUCode,EduLinkUp,Online,https://unstop.com/hackathons/elucode-edulinkup-1712263,,Online,,Quizzes & Treasure Hunt,elucode-edulinkup-1712263
Brainwave,"Guru Gobind Singh Indraprastha University (GGSIPU), Delhi",Online,https://unstop.com/hackathons/brainwave-2026-guru-gobind-singh-indraprastha-university-ggsipu-delhi-1711474,,Open,,"Ethical Hacking, Software Development, Experienced Professionals, Undergraduate",brainwave-2026-guru-gobind-singh-indraprastha-university-ggsipu-delhi-1711474
HackVerse 2026 | National Level Innovation Hackathon,Bharati Vidyapeeth Deemed University,Online,https://unstop.com/hackathons/hackverse-2026-national-level-innovation-hackathon-bharati-vidyapeeth-deemed-university-1712204,,Online,,"Applied AI, Undergraduate, Engineering Students, Fresher",hackverse-2026-national-level-innovation-hackathon-bharati-vidyapeeth-deemed-university-1712204
Innovate 4 Impact: AI SDG Global Hackathon 2026,"IEEE WIE Affinity Group, Bharati Vidyapeeth (Deemed to be University) College of Engineering, Pune",Online,https://unstop.com/hackathons/innovate-4-impact-ieee-wie-affinity-group-bharati-vidyapeeth-deemed-to-be-university-college-of-engineering-p-1711745,,Online,,"Project Management, Undergraduate, Engineering Students, Management",innovate-4-impact-ieee-wie-affinity-group-bharati-vidyapeeth-deemed-to-be-university-college-of-engineering-p-1711745
National Level Technical Hackathon,"Dhanalakshmi Srinivasan Engineering College, Perambalur",Online,https://unstop.com/hackathons/national-level-technical-hackathon-dhanalakshmi-srinivasan-engineering-college-perambalur-1711964,,Open,,"Software Development, Everyone can apply",national-level-technical-hackathon-dhanalakshmi-srinivasan-engineering-college-perambalur-1711964
Varithon 2026,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",Online,https://unstop.com/hackathons/varithon-2026-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-1711499,,Open,,"Project Management, Undergraduate, Postgraduate, Engineering Students",varithon-2026-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-1711499
ThunderCipher Case Files #001: The Crypto Heist,ThunderCipher,Online,https://unstop.com/hackathons/thundercipher-case-files-001-the-crypto-heist-thundercipher-1710309,,Online,,"Quizzes & Treasure Hunt, Undergraduate, Postgraduate, Engineering Students",thundercipher-case-files-001-the-crypto-heist-thundercipher-1710309
Tech-A-Thon 5.0 - By ECE Society,"Birla Institute of Technology (BIT), Mesra, Ranchi",Online,https://unstop.com/hackathons/tech-a-thon-50-bit-mesra-ranchi-1699177,,Online,,"Others, Undergraduate, Postgraduate, Engineering Students",tech-a-thon-50-bit-mesra-ranchi-1699177
AlgoSprint 2026 – Online Coding Challenge,Gyan Ganga College Of Technology (GGCT),Online,https://unstop.com/hackathons/algosprint-2026-online-coding-challenge-gyan-ganga-college-of-technology-ggct-1710621,,Online,,"Quizzes & Treasure Hunt, Undergraduate, Postgraduate, Engineering Students",algosprint-2026-online-coding-challenge-gyan-ganga-college-of-technology-ggct-1710621
Hack Synthesis 3.0 - 2026,University of Engineering and Management Kolkata,Online,https://unstop.com/hackathons/hack-synthesis-30-2026-university-of-engineering-and-management-kolkata-1710631,,Open,,"Software Development, Undergraduate, Postgraduate, Engineering Students",hack-synthesis-30-2026-university-of-engineering-and-management-kolkata-1710631
