title,company,location,url,posted_date,job_type,eligibility,skills,source_id
Collection Executive,DPDzero Technologies Pvt Ltd,In Office  |  Bangalore,https://unstop.com/jobs/collection-executive-dpdzero-technologies-pvt-ltd-1715484,"Jul 9, 2026",Full Time,1 -,"Operations, Experienced Professionals, Fresher",collection-executive-dpdzero-technologies-pvt-ltd-1715484
Warehouse Executive,Razon Technologies,In Office  |  Chennai,https://unstop.com/jobs/warehouse-executive-razon-technologies-1715480,"Jul 9, 2026",Full Time,1 -,"Supply Chain Operations, Experienced Professionals, Fresher",warehouse-executive-razon-technologies-1715480
Client Aquisition Executive,Technex Cloud Network Pvt Ltd,In Office  |  Hyderabad,https://unstop.com/jobs/client-aquisition-executive-technex-cloud-network-pvt-ltd-1715631,"Jul 9, 2026",Full Time,,"Client Servicing, Business Development, B2B Sales",client-aquisition-executive-technex-cloud-network-pvt-ltd-1715631
Sales and Marketing Associate,Heemo India,"On Field  |  Delhi, Noida",https://unstop.com/jobs/sales-and-marketing-associate-heemo-india-1715555,"Jul 9, 2026",Full Time,,"Others, Fresher, Experienced Professionals",sales-and-marketing-associate-heemo-india-1715555
Customer Care Executive,Domestic Cluster Enterprise,Work from Home  | Pan India,https://unstop.com/jobs/customer-care-executive-domestic-cluster-enterprise-1715517,"Jul 9, 2026",Full Time,,"Customer Support, Client Servicing, Fresher, Closed",customer-care-executive-domestic-cluster-enterprise-1715517
Subject Matter Expert - English Language Arts,Ankyrin Solutions Pvt. Ltd.,Work from Home,https://unstop.com/jobs/subject-matter-expert-english-language-arts-ankyrin-solutions-pvt-ltd-1715425,"Jul 9, 2026",,,"Editorial, Curriculum Development, Fresher",subject-matter-expert-english-language-arts-ankyrin-solutions-pvt-ltd-1715425
Growth Manager,Mixnosh Art Cafe,In Office  |  Bangalore,https://unstop.com/jobs/growth-manager-mixnosh-art-cafe-1715429,"Jul 9, 2026",Full Time,1 -,"Business Development, Fresher, Experienced Professionals",growth-manager-mixnosh-art-cafe-1715429
Marketing and Content Specialist,Phantasm Digital Works,In Office  |  Vijayawada,https://unstop.com/jobs/marketing-and-content-specialist-phantasm-digital-works-1715414,"Jul 9, 2026",Full Time,1 -,"Content Writing, Copywriting, Experienced Professionals, Closed",marketing-and-content-specialist-phantasm-digital-works-1715414
Business Development Executive - B2B,KM career Infinty,In Office  |  Nariman Point,https://unstop.com/jobs/business-development-executive-b2b-km-career-infinty-1714304,"Jul 9, 2026",Full Time,1 -,"B2B Sales, Business Development, Fresher",business-development-executive-b2b-km-career-infinty-1714304
Real Estate Sales Executive,Propkarmaa Pvt Ltd,"In Office  |  Noida, Gautam Buddha Nagar, Greater Noida, Ghaziabad, Delhi, Faizabad",https://unstop.com/jobs/real-estate-sales-executive-propkarmaa-pvt-ltd-1715365,"Jul 9, 2026",Full Time,1 -,"Sales, Fresher, Experienced Professionals",real-estate-sales-executive-propkarmaa-pvt-ltd-1715365
Software Developer,Aastra Technologies,In Office  |  Chennai,https://unstop.com/jobs/software-developer-aastra-technologies-1715350,"Jul 9, 2026",Full Time,,"Software Development, Fresher",software-developer-aastra-technologies-1715350
Marketing Executive,DXN Marketing India Private Limited,In Office  |  Hyderabad,https://unstop.com/jobs/marketing-executive-dxn-marketing-india-private-limited-1715334,"Jul 9, 2026",Full Time,,"Business Development, Fresher",marketing-executive-dxn-marketing-india-private-limited-1715334
Field Sales Executive,Hippocloud Technologies Pvt. Ltd.,In Office  |  Rajahmundry,https://unstop.com/jobs/field-sales-executive-hippocloud-technologies-pvt-ltd-1715323,"Jul 9, 2026",Full Time,1 -,"Field Sales, Fresher, Experienced Professionals",field-sales-executive-hippocloud-technologies-pvt-ltd-1715323
Telecaller Executive - Tally,Hippocloud Technologies Pvt. Ltd.,In Office  |  Hyderabad,https://unstop.com/jobs/telecaller-executive-tally-hippocloud-technologies-pvt-ltd-1715321,"Jul 9, 2026",Full Time,1 -,"Sales, Others, Fresher",telecaller-executive-tally-hippocloud-technologies-pvt-ltd-1715321
Business Development Representative,Restrotalk,Work from Home,https://unstop.com/jobs/business-development-representative-restrotalk-1715301,"Jul 9, 2026",,,"Business Development, Others, Fresher",business-development-representative-restrotalk-1715301
Lead Generation Associate,W3villa Technologies,In Office  |  Noida,https://unstop.com/jobs/lead-generation-associate-w3villa-technologies-1714534,"Jul 8, 2026",Full Time,,"Business Development, Fresher, Experienced Professionals",lead-generation-associate-w3villa-technologies-1714534
Video Editor,Birthmark Brahma,In Office  |  Chennai,https://unstop.com/jobs/video-editor-birthmark-brahma-1714532,"Jul 8, 2026",Full Time,1 -,"Video Editing, Motion Design, Experienced Professionals",video-editor-birthmark-brahma-1714532
Data Analyst,Nova Technology,Work from Home,https://unstop.com/jobs/data-analyst-nova-technology-1714496,"Jul 8, 2026",Full Time,,"Data Analysis, Everyone can apply",data-analyst-nova-technology-1714496
Inspection Engineer,Permali Wallace Pvt Ltd,In Office  |  Bhopal,https://unstop.com/jobs/inspection-engineer-permali-wallace-pvt-ltd-1714491,"Jul 8, 2026",Full Time,,"Mechanical Engineer, Quality Engineer Mechanical, Fresher",inspection-engineer-permali-wallace-pvt-ltd-1714491
Tele-Sales Executive,DLC Group,In Office  |  Delhi,https://unstop.com/jobs/tele-sales-executive-dlc-group-1714498,"Jul 8, 2026",Full Time,,"Sales, Others, Fresher",tele-sales-executive-dlc-group-1714498
Telesales Executive,Next Art Creations,In Office  |  Noida,https://unstop.com/jobs/telesales-executive-next-art-creations-1714328,"Jul 8, 2026",Full Time,1 -,"Sales, Others, Fresher",telesales-executive-next-art-creations-1714328
Business Development Executive (BDE),Mepass,In Office  |  Ahmedabad,https://unstop.com/jobs/business-development-executive-bde-mepass-1714308,"Jul 8, 2026",Full Time,,"Others, Fresher",business-development-executive-bde-mepass-1714308
Field Sales Executive,Rahbar infotech solutions Pvt. Ltd.,In Office  |  Delhi,https://unstop.com/jobs/field-sales-executive-rahbar-infotech-solutions-pvt-ltd-1714269,"Jul 8, 2026",Full Time,1 -,"Field Sales, Business Development, Fresher",field-sales-executive-rahbar-infotech-solutions-pvt-ltd-1714269
Academics Manager,UPRIO,In Office  |  Bangalore,https://unstop.com/jobs/academics-manager-uprio-1714289,"Jul 8, 2026",Full Time,,"Customer Success, Teaching, Learning & Development",academics-manager-uprio-1714289
AI Specialist & Enablement Lead,Brand Balance,In Office  |  Jaipur,https://unstop.com/jobs/ai-specialist-enablement-lead-brand-balance-1714294,"Jul 8, 2026",Full Time,1 -,"Prompt Engineering, Fresher, Experienced Professionals, Closed",ai-specialist-enablement-lead-brand-balance-1714294
Telecaller Executive,ATS Share Brokers Pvt. Ltd.,In Office  |  Pune,https://unstop.com/jobs/telecaller-executive-ats-share-brokers-pvt-ltd-1714252,"Jul 8, 2026",Full Time,,"Client Servicing, Fresher",telecaller-executive-ats-share-brokers-pvt-ltd-1714252
Dispatch Executive,RSV Group,In Office  |  Kurukshetra,https://unstop.com/jobs/dispatch-executive-rsv-group-1714217,"Jul 8, 2026",Full Time,,"Supply Chain Operations, Business Operations, Fresher",dispatch-executive-rsv-group-1714217
Management Trainee – Business Development Executive (BDE),Ohhpro Technology Pvt. Ltd.,"In Office  |  Bhubaneswar, Cuttack, Puri",https://unstop.com/jobs/management-trainee-business-development-executive-bde-ohhpro-technology-pvt-ltd-1714134,"Jul 8, 2026",Full Time,1 -,"Business Development, Fresher, Experienced Professionals",management-trainee-business-development-executive-bde-ohhpro-technology-pvt-ltd-1714134
Multimedia Associate – Subtitling & Closed Captioning,ESK Technova Softtech,In Office  |  Bangalore,https://unstop.com/jobs/multimedia-associate-subtitling-closed-captioning-esk-technova-softtech-1713927,"Jul 8, 2026",Full Time,1 -,"Content Writing, Editorial, Fresher",multimedia-associate-subtitling-closed-captioning-esk-technova-softtech-1713927
Solar Field Sales Engineer,Advit Ventures Private Limited,"In Office  |  Panipat, Gurgaon, Faridabad",https://unstop.com/jobs/solar-field-sales-engineer-advit-ventures-private-limited-1713520,"Jul 8, 2026",Full Time,1 -,"Others, Fresher, Experienced Professionals",solar-field-sales-engineer-advit-ventures-private-limited-1713520
Field Marketing Executive,Nlite Asia Pvt. Ltd,On Field  |  Visakhapatnam,https://unstop.com/jobs/field-marketing-executive-nlite-asia-pvt-ltd-1712254,"Jul 8, 2026",Full Time,1 -,"Business Development, Fresher, Experienced Professionals",field-marketing-executive-nlite-asia-pvt-ltd-1712254
Program Facilitator,Vishya Learning Solutions,In Office  |  Malkajgiri,https://unstop.com/jobs/program-facilitator-vishya-learning-solutions-1712336,"Jul 7, 2026",Full Time,,"Client Servicing, Teaching, Fresher",program-facilitator-vishya-learning-solutions-1712336
Inside Sales Executive - Kolkata,Emversity,In Office  |  Kolkata,https://unstop.com/jobs/inside-sales-executive-kolkata-emversity-1712619,"Jul 7, 2026",Full Time,,"Inside Sales, Fresher, Experienced Professionals",inside-sales-executive-kolkata-emversity-1712619
Graphic Designer,Magickworld,Work from Home,https://unstop.com/jobs/graphic-designer-magickworld-1712297,"Jul 7, 2026",Full Time,,"Graphic Design, Fresher",graphic-designer-magickworld-1712297
Video Editor,PhotoGPT AI,Work from Home,https://unstop.com/jobs/video-editor-photogpt-ai-1712530,"Jul 7, 2026",Full Time,,"Graphic Design, Video Editing, Everyone can apply",video-editor-photogpt-ai-1712530
Sales Executive,Zenithyugatech Private Limited,In Office  |  Telangana,https://unstop.com/jobs/sales-executive-zenithyugatech-private-limited-1712291,"Jul 7, 2026",Full Time,1 -,"Others, Fresher, Experienced Professionals",sales-executive-zenithyugatech-private-limited-1712291
HR Executive,Provectus CorpAdvisors,In Office  |  Ahmedabad,https://unstop.com/jobs/hr-executive-provectus-corpadvisors-1712279,"Jul 7, 2026",Full Time,1 -,"Human Resources (HR), Fresher, Experienced Professionals",hr-executive-provectus-corpadvisors-1712279
Customer Support Executive,Magpie Placement Services,"In Office  |  Gurgaon, Delhi",https://unstop.com/jobs/customer-support-executive-magpie-placement-services-1712253,"Jul 7, 2026",Full Time,,"Customer Support, Client Servicing, Fresher",customer-support-executive-magpie-placement-services-1712253
Sales Associate,Learning Routes Private Limited,In Office  |  Mumbai,https://unstop.com/jobs/sales-associate-learning-routes-private-limited-1712203,"Jul 7, 2026",Full Time,,"Sales, Others, Fresher",sales-associate-learning-routes-private-limited-1712203
Junior Educational Counselor,Learning Routes Private Limited,In Office  |  Mumbai,https://unstop.com/jobs/junior-educational-counselor-learning-routes-private-limited-1712233,"Jul 7, 2026",Full Time,,"Others, Sales, Fresher",junior-educational-counselor-learning-routes-private-limited-1712233
Marketing Executive,360degreeinfo,In Office  |  Chennai,https://unstop.com/jobs/marketing-executive-360degreeinfo-1712230,"Jul 7, 2026",Full Time,1 -,"General Marketing, Brand Marketing, Fresher",marketing-executive-360degreeinfo-1712230
Sales Executive,Learning Routes Private Limited,"In Office  |  Mumbai, Gurgaon, Noida, Bangalore Urban",https://unstop.com/jobs/sales-executive-learning-routes-private-limited-1712188,"Jul 7, 2026",Full Time,1 -,"Sales, Others, Fresher",sales-executive-learning-routes-private-limited-1712188
Inside Sales Executive,Emversity,In Office  |  Noida,https://unstop.com/jobs/inside-sales-executive-emversity-1712170,"Jul 7, 2026",Full Time,,"Inside Sales, Fresher",inside-sales-executive-emversity-1712170
Talent Acquisition Consultant,Resource Advisory Junction,In Office  |  Mumbai,https://unstop.com/jobs/talent-acquisition-consultant-resource-advisory-junction-1712145,"Jul 7, 2026",Full Time,,"Talent Acquisition, Fresher",talent-acquisition-consultant-resource-advisory-junction-1712145
Student Enquiry Officer,QS Quacquarelli Symonds,In Office  |  Bangalore,https://unstop.com/jobs/student-enquiry-officer-qs-quacquarelli-symonds-1712155,"Jul 7, 2026",Part Time,1 -,"Others, Fresher, Experienced Professionals",student-enquiry-officer-qs-quacquarelli-symonds-1712155
Graduate Engineer Trainee,Kuche7 manufacturing Pvt Ltd,"In Office  |  Mumbai, Bhiwandi, Kalyan, Dombivli, Ulhasnagar",https://unstop.com/jobs/graduate-engineer-trainee-kuche7-manufacturing-pvt-ltd-1712124,"Jul 7, 2026",Full Time,,"Mechanical Engineer, Fresher",graduate-engineer-trainee-kuche7-manufacturing-pvt-ltd-1712124
Field Sales Officer,FR8 Logistics,In Office  |  Bangalore,https://unstop.com/jobs/field-sales-officer-fr8-logistics-1712056,"Jul 7, 2026",Full Time,,"Field Sales, B2C Sales, Others",field-sales-officer-fr8-logistics-1712056
Sales Development Executive - Outbound Calling,DigiSME Software Pvt Ltd,In Office  |  Chennai,https://unstop.com/jobs/sales-development-executive-outbound-calling-digisme-software-pvt-ltd-1712119,"Jul 7, 2026",Full Time,1 -,"Others, Sales, Fresher",sales-development-executive-outbound-calling-digisme-software-pvt-ltd-1712119
Accountant Executive,Universe Capital India Private Limited,"In Office  |  Delhi, Ghaziabad, Vaishali",https://unstop.com/jobs/accountant-executive-universe-capital-india-private-limited-1711968,"Jul 6, 2026",Full Time,,"Accounting, Fresher",accountant-executive-universe-capital-india-private-limited-1711968
Telesales Executive,Exson Proptech Pvt. Ltd,In Office  |  Bhopal,https://unstop.com/jobs/telesales-executive-exson-proptech-pvt-ltd-1711617,"Jul 6, 2026",Full Time,1 -,"Sales, Others, Fresher, Closed",telesales-executive-exson-proptech-pvt-ltd-1711617
Technical Trainer – DSA (Java & Python),Examate,"In Office  |  Chennai, Hyderabad, Visakhapatnam",https://unstop.com/jobs/technical-trainer-dsa-java-python-examate-1711354,"Jul 5, 2026",Full Time,,"Teaching, Software Development, Fresher",technical-trainer-dsa-java-python-examate-1711354
Sales Executive,CXO India,In Office  |  Noida,https://unstop.com/jobs/sales-executive-cxo-india-1710726,"Jul 4, 2026",Full Time,,"Others, Fresher",sales-executive-cxo-india-1710726
Video Editor,TakeOff Talent,"In Office  |  West Delhi, Delhi",https://unstop.com/jobs/video-editor-takeoff-talent-1710786,"Jul 4, 2026",Full Time,,"Video Editing, Everyone can apply",video-editor-takeoff-talent-1710786
International Voice & Non-Voice Process Associate,Leo Placement Consultant,"In Office  |  Pune, Kalyani Nagar",https://unstop.com/jobs/international-voice-non-voice-process-associate-leo-placement-consultant-1710620,"Jul 4, 2026",Full Time,1 -,"Customer Support, Fresher, Experienced Professionals",international-voice-non-voice-process-associate-leo-placement-consultant-1710620
